订单号,动作,起始经度,起始纬度,取单号,商家经度,商家纬度,商家距离,理论取单时间,取单可取时间,取单承诺送达时间,送单号,客户经度,客户纬度,客户距离,理论送单时间,送单可取时间,送单承诺送达时间,骑手ID,波次,当前已取单数,骑手等级,骑手速度,最大负荷量,日期
2100076195134867256,PICKUP,121.54845700000001,39.290662,2100076195951347593,121.548947,39.29085,362.0,1583206294,1583206624,1583208064,2100076195134867256,121.539244,39.289311,1584.0,1583206489,1583206541,1583207860,10012508,1,1,3,6.241321385574538,10,20200303
2100076239632074633,DELIVERY,121.54839,39.290528,2100076241314645758,121.528646,39.288409,1248.0,1583231194,1583231995,1583232893,0,0.0,0.0,0.0,0,0,0,10012508,3,0,3,6.241321385574538,10,20200303
2100076201229059118,PICKUP,121.446504,39.20623,2100076203321624066,121.45236399999999,39.209781,155.0,1583209762,1583209829,1583211089,2100076201229059118,121.445444,39.213571,1473.0,1583209994,1583208400,1583210140,10021791,1,2,3,5.676862396664581,10,20200303
2100076197146166782,DELIVERY,121.54811200000002,39.142678000000004,2100076201955427501,121.54526399999999,39.158301,1137.0,1583209073,1583209002,1583210796,2100076198646581137,121.561264,39.152771,1023.0,1583209051,1583207337,1583209436,10037225,1,2,2,5.308386462657748,10,20200303
2100076203491690277,PICKUP,121.495223,39.063485,2100076200922318629,121.482381,39.052202,1.0,1583208940,1583208789,1583210887,2100076199697156005,121.498944,39.054341,1766.0,1583209263,1583208634,1583210415,10063192,1,2,3,5.459946227564104,8,20200303
2100076195918841395,DELIVERY,121.595041,39.202558,0,0.0,0.0,0.0,0,0,0,2100076195107308771,121.60133400000001,39.218261,209.0,1583208274,1583206851,1583208648,10067592,1,4,3,5.3422576443343175,6,20200303
2100076236115608779,PICKUP,121.59449099999999,39.207214,2100076238027326744,121.581602,39.210951,962.0,1583228998,1583229709,1583230907,2100076236115608779,121.578434,39.222660999999995,2451.0,1583229276,1583229183,1583230677,10067592,3,1,3,5.3422576443343175,6,20200303
2100076199977944205,PICKUP,121.562471,39.133214,2100076199464830523,121.552768,39.139540999999994,736.0,1583208672,1583208259,1583209505,2100076199977944205,121.54946399999999,39.144621,1577.0,1583208815,1583208076,1583209695,10075573,1,2,2,5.878708642943015,9,20200303
2100076239381136432,DELIVERY,121.53278999999999,39.141152000000005,2100076242516215395,121.54205300000001,39.151073,2063.0,1583230834,1583230918,1583232172,0,0.0,0.0,0.0,0,0,0,10081729,1,0,2,5.236013942224378,9,20200303
2100076181483980493,DELIVERY,121.598349,39.218395,2100076181231568589,121.601708,39.219714,1084.0,1583196485,1583196813,1583197953,0,0.0,0.0,0.0,0,0,0,10083928,1,0,2,5.886350400062118,7,20200303
